"Modulo","Id/DevAddr","Pac/DevEUI","Nro Série","IEF","IEF 3 dias","IEF 7 dias","Qtd dias sem transmissao","Qtd dias consecutivos sem transmissao","Matrícula","Latitude","Longitude","Status"
"2934588338","aeea43b2","0080e11500546195","S22C004152LA","1.0","0.0","0.0","1","1","4001337595","-23.2198396","-45.8915658","1"
"3653913911","d9ca4d37","0080e115056fd058","S22C023808DA","1.0","0.0","0.0","1","1","4001337995","-23.2198396","-45.8915658","1"
"399394695","17ce4787","0080e11505563862","S22C024030DA","0.960069","0.0","0.0","1","1","4001338205","-23.2198396","-45.8915658","1"
"2440249411","91734043","0080e11505569772","S22C021862DA","1.0","0.0","0.0","1","1","4001338206","-23.2198396","-45.8915658","1"
"2970568383","b10f46bf","0080e1150053fe0a","S22C008938LA","0.461111","0.0","0.0","10","8","4001337999","-23.2198396","-45.8915658","1"
"1047809255","3e744ce7","0080e115053de04a","S22C021793DA","1.0","0.0","0.0","1","1","4001337601","-23.2198396","-45.8915658","1"
"2351385174","8c274a56","0080e11505566b16","S22C023782DA","0.20625","0.0","0.0","21","9","4001337756","-23.2198396","-45.8915658","1"
"2674411769","9f6848f9","0080e115056813b7","S22C019221DA","1.0","0.0","0.0","0","0","4001338209","-23.2198396","-45.8915658","3"
"463815390","1ba542de","0080e115056816b1","S22C021771DA","1.0","0.0","0.0","0","0","4001337757","-23.2198396","-45.8915658","3"
"355616029","1532451d","0080e115055639b1","S22C021787DA","1.0","0.0","0.0","1","1","4001338107","-23.2198396","-45.8915658","1"
"267078257","0feb4a71","0080e1150570601b","S22C023325DA","0.229514","0.0","0.0","20","9","4001338108","-23.2198396","-45.8915658","1"
"79709652","04c045d4","0080e11505565a6a","S22C020256DA","0.888542","0.0","0.0","0","0","4001338110","-23.2198396","-45.8915658","2"
"2336706537","8b474fe9","0080e11505681bbf","S22C014513DA","1.0","0.0","0.0","1","1","4001337606","-23.2198396","-45.8915658","1"
"2637057461","9d2e4db5","0080e1150568162e","S22C020744DA","1.0","0.0","0.0","0","0","4001338217","-23.2198396","-45.8915658","3"
"3786293767","e1ae4207","0080e1150556637f","S22C023291DA","1.0","0.0","0.0","0","0","4001337608","-23.2198396","-45.8915658","3"
"223758724","0d564984","0080e1150511c976","S22C009635DA","0.713715","0.0","0.0","1","1","4000824482","-23.1663","-45.8367","1"
"541935845","204d48e5","0080E1150044E6E8","S22C005388II","0.688889","0.0","0.0","2","2","4000824321","-23.1662","-45.836","1"
"3930213974","ea424e56","0080e115005996ed","S22C009613DA","0.430132","0.0","0.0","17","16","4000824441","-23.1657","-45.8365","1"
"3664462586","da6b42fa","0080e11500258196","S22C006720DA","0.712674","0.0","0.0","1","1","4000824764","-23.1649","-45.8361","1"
"2110538388","7dcc4294","0080e11500218155","S22C009617DA","0.766667","0.0","0.0","0","0","4000824643","-23.1655","-45.837","2"
"2494383891","94ad4713","0080e11500256e23","S22C006316DA","0.726736","0.0","0.0","1","1","4000824889","-23.1655","-45.8358","1"
"511986628","1e844bc4","0080E11500546502","S22C002944II","0.803125","0.0","0.0","0","0","4000824603","-23.1653","-45.8366","2"
