"Modulo","Id/DevAddr","Pac/DevEUI","Nro Série","IEF","IEF 3 dias","IEF 7 dias","Qtd dias sem transmissao","Qtd dias consecutivos sem transmissao","Matrícula","Latitude","Longitude","Status"
"1557483272","5cd54f08","0080e11505096b75","S22C005485DA","1.0","0.0","0.0","0","0","4000683375","-23.603990499999998","-46.519100899999998","3"
"719735822","2ae64c0e","0080e11500217d80","S22C005125DA","1.0","0.0","0.0","0","0","4000683560","-23.603881999999999","-46.519058100000002","3"
"4239281792","fcae4e80","0080e115000d65e3","S22C004889DA","1.0","0.0","0.0","0","0","4000683470","-23.603881999999999","-46.519058100000002","3"
"2418364085","90254eb5","0080e11500217c70","S22C003823DA","1.0","0.0","0.0","0","0","4000683757","-23.603881999999999","-46.519058100000002","3"
"1617183616","60644380","0080e11505095c65","S22C005605DA","1.0","0.0","0.0","0","0","4000683408","-23.603990499999998","-46.519100899999998","3"
"1120160510","42c44afe","0080e11505091211","S22C004355DA","1.0","0.0","0.0","0","0","4000683535","-23.603881999999999","-46.519058100000002","3"
"793857848","2f514f38","0080e1150040c98b","S22C003822DA","1.0","0.0","0.0","0","0","4000683422","-23.603990499999998","-46.519100899999998","2"
"1312771196","4e3f4c7c","0080e115050918bc","S22C005112DA","1.0","0.0","0.0","1","1","4000683853","-23.603990499999998","-46.519100899999998","1"
"3342028569","c7334f19","0080e11500217aaf","S22C004430DA","1.0","0.0","0.0","0","0","4000683371","-23.603990499999998","-46.519100899999998","3"
"1036796614","3dcc42c6","0080e1150054007a","S22C005111DA","1.0","0.0","0.0","1","1","4000683536","-23.603881999999999","-46.519058100000002","1"
"1514029402","5a3e415a","0080e1150053d70c","S22C004173DA","1.0","0.0","0.0","0","0","4000683499","-23.603881999999999","-46.519058100000002","3"
"2398111751","8ef04807","0080e11500217edc","S22C005114DA","1.0","0.0","0.0","0","0","4000683766","-23.603881999999999","-46.519058100000002","3"
"2339392376","8b704b78","0080e11500545a80","S22C005451DA","1.0","0.0","0.0","0","0","4000683384","-23.603990499999998","-46.519100899999998","3"
"3386657982","c9dc4cbe","0080e11500505659","S22C005127DA","1.0","0.0","0.0","0","0","4000683487","-23.603881999999999","-46.519058100000002","3"
"437209293","1a0f48cd","0080e11500216dc9","S22C003811DA","1.0","0.0","0.0","0","0","4000683414","-23.603990499999998","-46.519100899999998","3"
"2176009147","81b343bb","0080e115000d72a5","S22C004883DA","0.993403","0.0","0.0","1","1","4000683809","-23.603881999999999","-46.519058100000002","1"
