Latitude,Longitude
-23.55641922499996,-46.64007791899996
-23.55587387099996,-46.64039797899994
-23.55582995399993,-46.64035444299999
-23.55557475899997,-46.64219678499995
-23.55529442999995,-46.64303268699996
-23.55500565899996,-46.64415165899992
-23.55456605399996,-46.64455526899997
-23.55437991999997,-46.64500795899995
-23.55395764499997,-46.64537003199996
-23.55332991399996,-46.64570636999997
-23.55241403099996,-46.64552240699994
-23.55189518899994,-46.64579804599998
-23.55103603099997,-46.64632216799998
-23.55119067599998,-46.64683328299997
-23.55141841299997,-46.64720982599994
-23.55178143599994,-46.64720892599996
-23.55153543999995,-46.64708750299997
-23.55124903999996,-46.64687398499996
-23.55100665099997,-46.64655883099995
-23.55085340699998,-46.64593524499998
-23.55065611399993,-46.64616985399995
-23.54991792099997,-46.64678083099994
-23.55011724799994,-46.64729179999995
-23.54865182299994,-46.64784074699998
-23.54758494499998,-46.64796262899995
-23.54751547499995,-46.64914541599995
-23.54780906399998,-46.65034395299995
-23.54681375699994,-46.65029692499996
-23.54458241299994,-46.65189788899993
-23.54452803699996,-46.65128638199997
-23.54268295999998,-46.65318107099995
-23.54264377399994,-46.65316754199995
-23.54156153999998,-46.65325037399998
-23.54155868799995,-46.65556238099998
-23.54150365499993,-46.65573277199996
-23.54148432699998,-46.65435321199993
-23.53692118599997,-46.65579464999996
-23.53653822099994,-46.65706394999995
-23.53616701099997,-46.66009271899998
-23.53479353099993,-46.65863540299995
-23.53189266699997,-46.65882480399995
-23.53178100099996,-46.65948090299997
-23.53094547399996,-46.65980533499994
-23.53053648099996,-46.65989137299994
-23.53052472699994,-46.65993387199995
-23.53047738799996,-46.65994034799996
-23.53036904999993,-46.66014089899994
-23.53010286899996,-46.66059222199992
-23.52952662499996,-46.66097150199994
-23.52914301899995,-46.66095730399996
-23.52861147599998,-46.66092644999998
-23.52773847999998,-46.66089163999992
-23.52756256999993,-46.66087387799995
-23.52744310799994,-46.66081933999993
-23.52716358499998,-46.66069738099998
-23.52669908899998,-46.66060390399997
-23.52630681699998,-46.66006581499995
-23.52436607499993,-46.65953076799997
-23.52262135099994,-46.65876678099995
-23.52178544599997,-46.65757294499997
-23.52049102699994,-46.65803292499993
-23.51996552999998,-46.65808172799996
-23.51991344199996,-46.65814642599997
-23.51982596599993,-46.65820977399994
-23.51973156599996,-46.66046187399996
-23.51702065799998,-46.66046619499997
-23.51700761299998,-46.66047536899999
-23.51699731999997,-46.66048618499996
-23.51697614999995,-46.66063381799995
-23.51678667299996,-46.66066178899997
-23.51673606599996,-46.66069629299994
-23.51669270899998,-46.66071720999997
-23.51667352199996,-46.66076771699995
-23.51661573599995,-46.66080291699996
-23.51654157299993,-46.66099097699998
-23.51635779599997,-46.66106955899994
-23.51626800899993,-46.66111013399995
-23.51619298099996,-46.66112708299995
-23.51608353299998,-46.66113175799995
-23.51596518599996,-46.66113384299997
-23.51591162299997,-46.66190751099998
-23.51578361899993,-46.66263968799997
-23.51569478899995,-46.66323047199995
-23.51560043199993,-46.66340204499995
-23.51557747199997,-46.66358142199994
-23.51556852099998,-46.66444698399993
-23.51545713099995,-46.66535074799998
-23.51534884399996,-46.66662316199996
-23.51519012399997,-46.66692949999998
-23.51516010899996,-46.66928569799995
-23.51484253299998,-46.67123874399994
-23.51465605599998,-46.67301889699996
-23.51439040199995,-46.67405591699998
-23.51424895299994,-46.67551618399995
-23.51405714699996,-46.67788403499998
-23.51378843699996,-46.67970964499995
-23.51300903799995,-46.68238741599998
-23.51089828399995,-46.68388096799998
-23.51009386399994,-46.68550450599997
-23.50975526599996,-46.69355803299993
